CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18160 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 5
0.00.125.112 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.125.189 I srv          init: The UI is disabled
0.00.125.191 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.125.229 W srv  llama_server: -----------------
0.00.125.231 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.125.231 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.125.231 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.125.232 W srv  llama_server: -----------------
0.00.126.426 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.06.630.816 I cmn          init: llama threadpool init, n_threads = 8
0.06.687.202 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.06.730.267 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.06.743.004 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.743.039 I srv  llama_server: model loaded
0.06.743.043 I srv  llama_server: listening on http://127.0.0.1:18160
0.07.027.423 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.07.027.468 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.07.295.766 I slot print_timing: id  0 | task 0 | prompt eval time =     203.44 ms /    25 tokens (    8.14 ms per token,   122.88 tokens per second)
0.07.295.769 I slot print_timing: id  0 | task 0 |        eval time =      64.83 ms /     3 tokens (   32.41 ms per token,    30.85 tokens per second)
0.07.295.770 I slot print_timing: id  0 | task 0 |       total time =     268.27 ms /    28 tokens
0.07.295.772 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.07.295.774 I slot print_timing: id  0 | task 0 | draft acceptance = 0.60000 (    3 accepted /     5 generated), mean len =  4.00
0.07.295.805 I slot      release: id  0 | task 0 | stop processing: n_tokens = 29, truncated = 0
0.07.298.232 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 212560131463
0.07.367.739 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.07.591.009 I slot print_timing: id  0 | task 5 | prompt eval time =     223.25 ms /    95 tokens (    2.35 ms per token,   425.53 tokens per second)
0.07.591.013 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.07.591.013 I slot print_timing: id  0 | task 5 |       total time =     223.25 ms /    96 tokens
0.07.591.014 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.07.591.038 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.07.593.004 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.07.593.041 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.07.815.122 I slot print_timing: id  0 | task 9 | prompt eval time =     222.07 ms /    95 tokens (    2.34 ms per token,   427.80 tokens per second)
0.07.815.126 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.07.815.127 I slot print_timing: id  0 | task 9 |       total time =     222.07 ms /    96 tokens
0.07.815.127 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.07.815.151 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.07.817.560 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.07.817.594 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.08.040.611 I slot print_timing: id  0 | task 13 | prompt eval time =     223.00 ms /    95 tokens (    2.35 ms per token,   426.00 tokens per second)
0.08.040.615 I slot print_timing: id  0 | task 13 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.08.040.616 I slot print_timing: id  0 | task 13 |       total time =     223.01 ms /    96 tokens
0.08.040.616 I slot print_timing: id  0 | task 13 |    graphs reused =          1
0.08.040.640 I slot      release: id  0 | task 13 | stop processing: n_tokens = 95, truncated = 0
0.08.042.631 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.08.042.661 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.08.264.175 I slot print_timing: id  0 | task 17 | prompt eval time =     221.50 ms /    95 tokens (    2.33 ms per token,   428.89 tokens per second)
0.08.264.179 I slot print_timing: id  0 | task 17 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.08.264.179 I slot print_timing: id  0 | task 17 |       total time =     221.50 ms /    96 tokens
0.08.264.180 I slot print_timing: id  0 | task 17 |    graphs reused =          1
0.08.264.206 I slot      release: id  0 | task 17 | stop processing: n_tokens = 95, truncated = 0
0.08.266.230 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
