CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18150 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 7
0.00.071.711 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.071.819 I srv          init: The UI is disabled
0.00.071.819 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.071.856 W srv  llama_server: -----------------
0.00.071.856 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.071.856 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.071.856 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.071.856 W srv  llama_server: -----------------
0.00.073.175 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.01.892.691 I cmn          init: llama threadpool init, n_threads = 8
0.01.957.450 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.02.050.956 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.067.877 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.067.906 I srv  llama_server: model loaded
0.02.067.909 I srv  llama_server: listening on http://127.0.0.1:18150
0.02.216.539 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.216.588 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.718.648 I slot print_timing: id  0 | task 0 | prompt eval time =     302.45 ms /    25 tokens (   12.10 ms per token,    82.66 tokens per second)
0.02.718.652 I slot print_timing: id  0 | task 0 |        eval time =     199.58 ms /     3 tokens (   99.79 ms per token,    10.02 tokens per second)
0.02.718.652 I slot print_timing: id  0 | task 0 |       total time =     502.03 ms /    28 tokens
0.02.718.655 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.02.718.657 I slot print_timing: id  0 | task 0 | draft acceptance = 0.42857 (    3 accepted /     7 generated), mean len =  4.00
0.02.718.687 I slot      release: id  0 | task 0 | stop processing: n_tokens = 29, truncated = 0
0.02.721.196 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 78386310926
0.02.790.260 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.03.186.220 I slot print_timing: id  0 | task 5 | prompt eval time =     395.94 ms /    95 tokens (    4.17 ms per token,   239.93 tokens per second)
0.03.186.224 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.186.225 I slot print_timing: id  0 | task 5 |       total time =     395.94 ms /    96 tokens
0.03.186.225 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.03.186.246 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.03.188.551 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.188.580 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.03.599.655 I slot print_timing: id  0 | task 9 | prompt eval time =     411.06 ms /    95 tokens (    4.33 ms per token,   231.11 tokens per second)
