CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18138 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 2
0.00.201.638 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.201.710 I srv          init: The UI is disabled
0.00.201.712 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.201.748 W srv  llama_server: -----------------
0.00.201.750 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.201.750 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.201.750 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.201.750 W srv  llama_server: -----------------
0.00.202.949 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.31.114.647 I cmn          init: llama threadpool init, n_threads = 8
0.31.196.011 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.31.239.866 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.31.263.930 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.31.263.965 I srv  llama_server: model loaded
0.31.263.970 I srv  llama_server: listening on http://127.0.0.1:18138
0.31.840.087 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.31.840.148 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.32.128.843 I slot print_timing: id  0 | task 0 | prompt eval time =     239.94 ms /    25 tokens (    9.60 ms per token,   104.19 tokens per second)
0.32.128.847 I slot print_timing: id  0 | task 0 |        eval time =      48.73 ms /     3 tokens (   24.36 ms per token,    41.04 tokens per second)
0.32.128.847 I slot print_timing: id  0 | task 0 |       total time =     288.67 ms /    28 tokens
0.32.128.850 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.32.128.851 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (    2 accepted /     2 generated), mean len =  3.00
0.32.129.683 I slot      release: id  0 | task 0 | stop processing: n_tokens = 28, truncated = 0
0.32.136.057 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 613930232280
0.32.270.763 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.32.525.951 I slot print_timing: id  0 | task 5 | prompt eval time =     255.17 ms /    95 tokens (    2.69 ms per token,   372.31 tokens per second)
0.32.525.956 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.32.525.957 I slot print_timing: id  0 | task 5 |       total time =     255.17 ms /    96 tokens
0.32.525.957 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.32.525.982 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.32.527.882 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.32.527.920 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.32.763.835 I slot print_timing: id  0 | task 9 | prompt eval time =     235.90 ms /    95 tokens (    2.48 ms per token,   402.71 tokens per second)
0.32.763.839 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.32.763.840 I slot print_timing: id  0 | task 9 |       total time =     235.90 ms /    96 tokens
0.32.763.840 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.32.763.861 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.32.765.669 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.32.765.705 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.33.000.738 I slot print_timing: id  0 | task 13 | prompt eval time =     235.02 ms /    95 tokens (    2.47 ms per token,   404.22 tokens per second)
0.33.000.742 I slot print_timing: id  0 | task 13 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.33.000.742 I slot print_timing: id  0 | task 13 |       total time =     235.02 ms /    96 tokens
0.33.000.742 I slot print_timing: id  0 | task 13 |    graphs reused =          1
0.33.000.764 I slot      release: id  0 | task 13 | stop processing: n_tokens = 95, truncated = 0
0.33.002.566 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.33.002.602 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.33.237.931 I slot print_timing: id  0 | task 17 | prompt eval time =     235.32 ms /    95 tokens (    2.48 ms per token,   403.71 tokens per second)
0.33.237.936 I slot print_timing: id  0 | task 17 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.33.237.936 I slot print_timing: id  0 | task 17 |       total time =     235.32 ms /    96 tokens
0.33.237.937 I slot print_timing: id  0 | task 17 |    graphs reused =          1
0.33.237.971 I slot      release: id  0 | task 17 | stop processing: n_tokens = 95, truncated = 0
0.33.239.728 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.33.239.765 I slot launch_slot_: id  0 | task 21 | processing task, is_child = 0
0.33.475.815 I slot print_timing: id  0 | task 21 | prompt eval time =     236.04 ms /    95 tokens (    2.48 ms per token,   402.47 tokens per second)
0.33.475.819 I slot print_timing: id  0 | task 21 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.33.475.819 I slot print_timing: id  0 | task 21 |       total time =     236.04 ms /    96 tokens
0.33.475.820 I slot print_timing: id  0 | task 21 |    graphs reused =          1
0.33.475.846 I slot      release: id  0 | task 21 | stop processing: n_tokens = 95, truncated = 0
0.33.477.653 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.33.477.685 I slot launch_slot_: id  0 | task 25 | processing task, is_child = 0
0.33.713.696 I slot print_timing: id  0 | task 25 | prompt eval time =     236.00 ms /    95 tokens (    2.48 ms per token,   402.55 tokens per second)
0.33.713.700 I slot print_timing: id  0 | task 25 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.33.713.700 I slot print_timing: id  0 | task 25 |       total time =     236.00 ms /    96 tokens
0.33.713.701 I slot print_timing: id  0 | task 25 |    graphs reused =          1
0.33.713.723 I slot      release: id  0 | task 25 | stop processing: n_tokens = 95, truncated = 0
0.33.715.749 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.33.715.786 I slot launch_slot_: id  0 | task 29 | processing task, is_child = 0
0.33.952.870 I slot print_timing: id  0 | task 29 | prompt eval time =     237.07 ms /    95 tokens (    2.50 ms per token,   400.73 tokens per second)
0.33.952.875 I slot print_timing: id  0 | task 29 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.33.952.875 I slot print_timing: id  0 | task 29 |       total time =     237.07 ms /    96 tokens
0.33.952.876 I slot print_timing: id  0 | task 29 |    graphs reused =          1
0.33.952.898 I slot      release: id  0 | task 29 | stop processing: n_tokens = 95, truncated = 0
0.33.954.755 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.33.954.795 I slot launch_slot_: id  0 | task 33 | processing task, is_child = 0
0.34.190.116 I slot print_timing: id  0 | task 33 | prompt eval time =     235.31 ms /    95 tokens (    2.48 ms per token,   403.73 tokens per second)
0.34.190.122 I slot print_timing: id  0 | task 33 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.34.190.122 I slot print_timing: id  0 | task 33 |       total time =     235.31 ms /    96 tokens
0.34.190.123 I slot print_timing: id  0 | task 33 |    graphs reused =          1
0.34.190.146 I slot      release: id  0 | task 33 | stop processing: n_tokens = 95, truncated = 0
0.34.225.376 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.34.225.424 I slot launch_slot_: id  0 | task 37 | processing task, is_child = 0
0.37.467.728 I slot print_timing: id  0 | task 37 | n_gen =    236, tg =  78.26 t/s, tg_3s =  78.60 t/s
0.39.463.127 I slot print_timing: id  0 | task 37 | prompt eval time =     239.62 ms /    95 tokens (    2.52 ms per token,   396.46 tokens per second)
0.39.463.132 I slot print_timing: id  0 | task 37 |        eval time =    4998.05 ms /   400 tokens (   12.53 ms per token,    79.83 tokens per second)
0.39.463.133 I slot print_timing: id  0 | task 37 |       total time =    5237.66 ms /   495 tokens
0.39.463.133 I slot print_timing: id  0 | task 37 |    graphs reused =        139
0.39.463.135 I slot print_timing: id  0 | task 37 | draft acceptance = 0.91815 (  258 accepted /   281 generated), mean len =  2.83
0.39.463.160 I slot      release: id  0 | task 37 | stop processing: n_tokens = 494, truncated = 0
0.39.500.882 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 613937565756
0.39.651.602 I slot launch_slot_: id  0 | task 182 | processing task, is_child = 0
0.39.914.456 I slot print_timing: id  0 | task 182 | prompt eval time =     262.83 ms /   100 tokens (    2.63 ms per token,   380.47 tokens per second)
0.39.914.460 I slot print_timing: id  0 | task 182 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.39.914.461 I slot print_timing: id  0 | task 182 |       total time =     262.84 ms /   101 tokens
0.39.914.461 I slot print_timing: id  0 | task 182 |    graphs reused =        139
0.39.914.485 I slot      release: id  0 | task 182 | stop processing: n_tokens = 100, truncated = 0
0.39.916.397 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.39.916.442 I slot launch_slot_: id  0 | task 186 | processing task, is_child = 0
0.40.159.698 I slot print_timing: id  0 | task 186 | prompt eval time =     243.25 ms /   100 tokens (    2.43 ms per token,   411.11 tokens per second)
0.40.159.703 I slot print_timing: id  0 | task 186 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.40.159.703 I slot print_timing: id  0 | task 186 |       total time =     243.25 ms /   101 tokens
0.40.159.704 I slot print_timing: id  0 | task 186 |    graphs reused =        139
0.40.159.727 I slot      release: id  0 | task 186 | stop processing: n_tokens = 100, truncated = 0
0.40.161.705 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.40.161.736 I slot launch_slot_: id  0 | task 190 | processing task, is_child = 0
0.40.401.426 I slot print_timing: id  0 | task 190 | prompt eval time =     239.68 ms /   100 tokens (    2.40 ms per token,   417.22 tokens per second)
0.40.401.429 I slot print_timing: id  0 | task 190 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.40.401.430 I slot print_timing: id  0 | task 190 |       total time =     239.68 ms /   101 tokens
0.40.401.431 I slot print_timing: id  0 | task 190 |    graphs reused =        139
