CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18138 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 2
0.00.151.108 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.151.194 I srv          init: The UI is disabled
0.00.151.195 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.151.234 W srv  llama_server: -----------------
0.00.151.236 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.151.236 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.151.236 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.151.236 W srv  llama_server: -----------------
0.00.152.435 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.29.442.627 I cmn          init: llama threadpool init, n_threads = 8
0.29.551.542 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.29.661.265 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.29.694.828 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.29.694.881 I srv  llama_server: model loaded
0.29.694.888 I srv  llama_server: listening on http://127.0.0.1:18138
0.29.869.667 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.29.869.744 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.30.475.587 I slot print_timing: id  0 | task 0 | prompt eval time =     412.62 ms /    25 tokens (   16.50 ms per token,    60.59 tokens per second)
0.30.475.591 I slot print_timing: id  0 | task 0 |        eval time =     193.19 ms /     3 tokens (   96.59 ms per token,    10.35 tokens per second)
0.30.475.591 I slot print_timing: id  0 | task 0 |       total time =     605.81 ms /    28 tokens
0.30.475.593 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.30.475.595 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (    2 accepted /     2 generated), mean len =  3.00
0.30.482.828 I slot      release: id  0 | task 0 | stop processing: n_tokens = 28, truncated = 0
0.30.488.901 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 535568639510
0.30.640.148 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.31.221.379 I slot print_timing: id  0 | task 5 | prompt eval time =     581.21 ms /    95 tokens (    6.12 ms per token,   163.45 tokens per second)
0.31.221.383 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.31.221.384 I slot print_timing: id  0 | task 5 |       total time =     581.21 ms /    96 tokens
0.31.221.384 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.31.221.409 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.31.223.405 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.31.223.437 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.31.833.729 I slot print_timing: id  0 | task 9 | prompt eval time =     610.28 ms /    95 tokens (    6.42 ms per token,   155.67 tokens per second)
0.31.833.734 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.31.833.734 I slot print_timing: id  0 | task 9 |       total time =     610.28 ms /    96 tokens
0.31.833.735 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.31.833.759 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.31.835.969 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.31.836.027 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.32.456.561 I slot print_timing: id  0 | task 13 | prompt eval time =     620.52 ms /    95 tokens (    6.53 ms per token,   153.10 tokens per second)
0.32.456.566 I slot print_timing: id  0 | task 13 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.32.456.566 I slot print_timing: id  0 | task 13 |       total time =     620.52 ms /    96 tokens
0.32.456.566 I slot print_timing: id  0 | task 13 |    graphs reused =          1
0.32.456.591 I slot      release: id  0 | task 13 | stop processing: n_tokens = 95, truncated = 0
0.32.458.472 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.32.458.502 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.33.066.038 I slot print_timing: id  0 | task 17 | prompt eval time =     607.52 ms /    95 tokens (    6.39 ms per token,   156.37 tokens per second)
0.33.066.044 I slot print_timing: id  0 | task 17 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.33.066.044 I slot print_timing: id  0 | task 17 |       total time =     607.52 ms /    96 tokens
0.33.066.045 I slot print_timing: id  0 | task 17 |    graphs reused =          1
0.33.066.090 I slot      release: id  0 | task 17 | stop processing: n_tokens = 95, truncated = 0
0.33.068.129 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.33.068.188 I slot launch_slot_: id  0 | task 21 | processing task, is_child = 0
0.33.677.599 I slot print_timing: id  0 | task 21 | prompt eval time =     609.40 ms /    95 tokens (    6.41 ms per token,   155.89 tokens per second)
0.33.677.604 I slot print_timing: id  0 | task 21 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.33.677.605 I slot print_timing: id  0 | task 21 |       total time =     609.40 ms /    96 tokens
0.33.677.605 I slot print_timing: id  0 | task 21 |    graphs reused =          1
0.33.677.654 I slot      release: id  0 | task 21 | stop processing: n_tokens = 95, truncated = 0
0.33.679.705 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.33.679.750 I slot launch_slot_: id  0 | task 25 | processing task, is_child = 0
0.34.281.784 I slot print_timing: id  0 | task 25 | prompt eval time =     602.02 ms /    95 tokens (    6.34 ms per token,   157.80 tokens per second)
0.34.281.789 I slot print_timing: id  0 | task 25 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.34.281.789 I slot print_timing: id  0 | task 25 |       total time =     602.02 ms /    96 tokens
0.34.281.790 I slot print_timing: id  0 | task 25 |    graphs reused =          1
0.34.281.813 I slot      release: id  0 | task 25 | stop processing: n_tokens = 95, truncated = 0
0.34.283.728 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.34.283.771 I slot launch_slot_: id  0 | task 29 | processing task, is_child = 0
