CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18211 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 3 --spec-draft-p-min 0.0
0.00.135.080 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.135.163 I srv          init: The UI is disabled
0.00.135.164 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.135.204 W srv  llama_server: -----------------
0.00.135.206 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.135.206 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.135.206 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.135.206 W srv  llama_server: -----------------
0.00.136.430 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.09.605.922 I cmn          init: llama threadpool init, n_threads = 8
0.09.661.608 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.09.703.227 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.09.730.769 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.09.730.802 I srv  llama_server: model loaded
0.09.730.807 I srv  llama_server: listening on http://127.0.0.1:18211
0.10.012.920 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.012.958 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.330.707 I slot print_timing: id  0 | task 0 | prompt eval time =     258.82 ms /    25 tokens (   10.35 ms per token,    96.59 tokens per second)
0.10.330.710 I slot print_timing: id  0 | task 0 |        eval time =      58.90 ms /     3 tokens (   29.45 ms per token,    33.96 tokens per second)
0.10.330.711 I slot print_timing: id  0 | task 0 |       total time =     317.72 ms /    28 tokens
0.10.330.713 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.10.330.715 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (    3 accepted /     3 generated), mean len =  4.00
0.10.330.745 I slot      release: id  0 | task 0 | stop processing: n_tokens = 29, truncated = 0
0.10.333.510 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 284235392685
0.10.471.781 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.10.752.757 I slot print_timing: id  0 | task 5 | prompt eval time =     280.96 ms /    95 tokens (    2.96 ms per token,   338.13 tokens per second)
0.10.752.761 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.10.752.761 I slot print_timing: id  0 | task 5 |       total time =     280.96 ms /    96 tokens
0.10.752.762 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.10.752.785 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.10.754.663 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.10.754.696 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.11.033.788 I slot print_timing: id  0 | task 9 | prompt eval time =     279.08 ms /    95 tokens (    2.94 ms per token,   340.41 tokens per second)
0.11.033.793 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.033.793 I slot print_timing: id  0 | task 9 |       total time =     279.08 ms /    96 tokens
0.11.033.794 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.11.033.821 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.11.035.747 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.11.035.785 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.11.315.245 I slot print_timing: id  0 | task 13 | prompt eval time =     279.45 ms /    95 tokens (    2.94 ms per token,   339.96 tokens per second)
0.11.315.249 I slot print_timing: id  0 | task 13 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.315.249 I slot print_timing: id  0 | task 13 |       total time =     279.45 ms /    96 tokens
0.11.315.250 I slot print_timing: id  0 | task 13 |    graphs reused =          1
0.11.315.275 I slot      release: id  0 | task 13 | stop processing: n_tokens = 95, truncated = 0
0.11.317.173 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.11.317.209 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.11.599.313 I slot print_timing: id  0 | task 17 | prompt eval time =     282.09 ms /    95 tokens (    2.97 ms per token,   336.77 tokens per second)
0.11.599.317 I slot print_timing: id  0 | task 17 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.599.317 I slot print_timing: id  0 | task 17 |       total time =     282.09 ms /    96 tokens
0.11.599.318 I slot print_timing: id  0 | task 17 |    graphs reused =          1
0.11.599.340 I slot      release: id  0 | task 17 | stop processing: n_tokens = 95, truncated = 0
0.11.601.185 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.11.601.217 I slot launch_slot_: id  0 | task 21 | processing task, is_child = 0
0.11.880.920 I slot print_timing: id  0 | task 21 | prompt eval time =     279.69 ms /    95 tokens (    2.94 ms per token,   339.66 tokens per second)
0.11.880.924 I slot print_timing: id  0 | task 21 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.880.924 I slot print_timing: id  0 | task 21 |       total time =     279.69 ms /    96 tokens
0.11.880.925 I slot print_timing: id  0 | task 21 |    graphs reused =          1
0.11.880.948 I slot      release: id  0 | task 21 | stop processing: n_tokens = 95, truncated = 0
0.11.882.633 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.11.882.665 I slot launch_slot_: id  0 | task 25 | processing task, is_child = 0
0.12.160.875 I slot print_timing: id  0 | task 25 | prompt eval time =     278.20 ms /    95 tokens (    2.93 ms per token,   341.49 tokens per second)
0.12.160.881 I slot print_timing: id  0 | task 25 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.12.160.881 I slot print_timing: id  0 | task 25 |       total time =     278.20 ms /    96 tokens
0.12.160.882 I slot print_timing: id  0 | task 25 |    graphs reused =          1
0.12.160.904 I slot      release: id  0 | task 25 | stop processing: n_tokens = 95, truncated = 0
