CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18138 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 2
0.00.194.383 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.195.631 I srv          init: The UI is disabled
0.00.195.633 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.195.889 W srv  llama_server: -----------------
0.00.195.890 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.195.890 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.195.890 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.195.890 W srv  llama_server: -----------------
0.00.197.080 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.24.894.766 I cmn          init: llama threadpool init, n_threads = 8
0.24.982.378 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.25.029.389 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.25.058.638 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.25.058.672 I srv  llama_server: model loaded
0.25.058.677 I srv  llama_server: listening on http://127.0.0.1:18138
0.25.340.504 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.25.340.579 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.25.691.473 I slot print_timing: id  0 | task 0 | prompt eval time =     289.59 ms /    25 tokens (   11.58 ms per token,    86.33 tokens per second)
0.25.691.477 I slot print_timing: id  0 | task 0 |        eval time =      61.26 ms /     3 tokens (   30.63 ms per token,    32.65 tokens per second)
0.25.691.478 I slot print_timing: id  0 | task 0 |       total time =     350.85 ms /    28 tokens
0.25.691.480 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.25.691.481 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (    2 accepted /     2 generated), mean len =  3.00
0.25.692.482 I slot      release: id  0 | task 0 | stop processing: n_tokens = 28, truncated = 0
0.25.698.310 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 372784225037
0.25.848.715 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.26.155.134 I slot print_timing: id  0 | task 5 | prompt eval time =     306.40 ms /    95 tokens (    3.23 ms per token,   310.05 tokens per second)
0.26.155.138 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.26.155.139 I slot print_timing: id  0 | task 5 |       total time =     306.40 ms /    96 tokens
0.26.155.139 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.26.155.162 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.26.157.303 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.26.157.338 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.26.440.243 I slot print_timing: id  0 | task 9 | prompt eval time =     282.89 ms /    95 tokens (    2.98 ms per token,   335.82 tokens per second)
0.26.440.247 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.26.440.247 I slot print_timing: id  0 | task 9 |       total time =     282.89 ms /    96 tokens
0.26.440.248 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.26.440.272 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.26.442.223 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.26.442.264 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.26.724.964 I slot print_timing: id  0 | task 13 | prompt eval time =     282.69 ms /    95 tokens (    2.98 ms per token,   336.06 tokens per second)
0.26.724.968 I slot print_timing: id  0 | task 13 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.26.724.969 I slot print_timing: id  0 | task 13 |       total time =     282.69 ms /    96 tokens
0.26.724.969 I slot print_timing: id  0 | task 13 |    graphs reused =          1
0.26.724.993 I slot      release: id  0 | task 13 | stop processing: n_tokens = 95, truncated = 0
0.26.727.040 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.26.727.074 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.27.008.888 I slot print_timing: id  0 | task 17 | prompt eval time =     281.80 ms /    95 tokens (    2.97 ms per token,   337.12 tokens per second)
0.27.008.892 I slot print_timing: id  0 | task 17 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.27.008.893 I slot print_timing: id  0 | task 17 |       total time =     281.80 ms /    96 tokens
0.27.008.893 I slot print_timing: id  0 | task 17 |    graphs reused =          1
0.27.008.915 I slot      release: id  0 | task 17 | stop processing: n_tokens = 95, truncated = 0
0.27.010.714 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.27.010.748 I slot launch_slot_: id  0 | task 21 | processing task, is_child = 0
0.27.292.682 I slot print_timing: id  0 | task 21 | prompt eval time =     281.92 ms /    95 tokens (    2.97 ms per token,   336.97 tokens per second)
0.27.292.686 I slot print_timing: id  0 | task 21 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.27.292.686 I slot print_timing: id  0 | task 21 |       total time =     281.92 ms /    96 tokens
0.27.292.687 I slot print_timing: id  0 | task 21 |    graphs reused =          1
0.27.292.722 I slot      release: id  0 | task 21 | stop processing: n_tokens = 95, truncated = 0
0.27.294.616 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.27.294.654 I slot launch_slot_: id  0 | task 25 | processing task, is_child = 0
0.27.577.204 I slot print_timing: id  0 | task 25 | prompt eval time =     282.54 ms /    95 tokens (    2.97 ms per token,   336.24 tokens per second)
0.27.577.209 I slot print_timing: id  0 | task 25 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.27.577.209 I slot print_timing: id  0 | task 25 |       total time =     282.54 ms /    96 tokens
0.27.577.210 I slot print_timing: id  0 | task 25 |    graphs reused =          1
0.27.577.246 I slot      release: id  0 | task 25 | stop processing: n_tokens = 95, truncated = 0
0.27.579.136 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.27.579.172 I slot launch_slot_: id  0 | task 29 | processing task, is_child = 0
0.27.860.847 I slot print_timing: id  0 | task 29 | prompt eval time =     281.66 ms /    95 tokens (    2.96 ms per token,   337.28 tokens per second)
0.27.860.851 I slot print_timing: id  0 | task 29 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.27.860.851 I slot print_timing: id  0 | task 29 |       total time =     281.66 ms /    96 tokens
0.27.860.852 I slot print_timing: id  0 | task 29 |    graphs reused =          1
0.27.860.875 I slot      release: id  0 | task 29 | stop processing: n_tokens = 95, truncated = 0
0.27.863.057 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.27.863.091 I slot launch_slot_: id  0 | task 33 | processing task, is_child = 0
0.28.144.238 I slot print_timing: id  0 | task 33 | prompt eval time =     281.13 ms /    95 tokens (    2.96 ms per token,   337.92 tokens per second)
0.28.144.243 I slot print_timing: id  0 | task 33 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.28.144.244 I slot print_timing: id  0 | task 33 |       total time =     281.14 ms /    96 tokens
0.28.144.244 I slot print_timing: id  0 | task 33 |    graphs reused =          1
0.28.144.270 I slot      release: id  0 | task 33 | stop processing: n_tokens = 95, truncated = 0
0.28.147.604 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.28.147.638 I slot launch_slot_: id  0 | task 37 | processing task, is_child = 0
0.31.433.650 I slot print_timing: id  0 | task 37 | n_gen =    236, tg =  78.28 t/s, tg_3s =  78.61 t/s
0.34.435.958 I slot print_timing: id  0 | task 37 | n_gen =    478, tg =  79.44 t/s, tg_3s =  80.60 t/s
0.37.468.242 I slot print_timing: id  0 | task 37 | n_gen =    717, tg =  79.23 t/s, tg_3s =  78.82 t/s
0.40.482.001 I slot print_timing: id  0 | task 37 | n_gen =    954, tg =  79.08 t/s, tg_3s =  78.64 t/s
0.43.482.900 I slot print_timing: id  0 | task 37 | n_gen =   1193, tg =  79.20 t/s, tg_3s =  79.64 t/s
0.46.492.103 I slot print_timing: id  0 | task 37 | n_gen =   1417, tg =  78.40 t/s, tg_3s =  74.44 t/s
0.48.730.005 I slot print_timing: id  0 | task 37 | prompt eval time =     283.88 ms /    95 tokens (    2.99 ms per token,   334.64 tokens per second)
0.48.730.009 I slot print_timing: id  0 | task 37 |        eval time =   20298.47 ms /  1600 tokens (   12.69 ms per token,    78.77 tokens per second)
0.48.730.009 I slot print_timing: id  0 | task 37 |       total time =   20582.35 ms /  1695 tokens
0.48.730.010 I slot print_timing: id  0 | task 37 |    graphs reused =        564
0.48.730.012 I slot print_timing: id  0 | task 37 | draft acceptance = 0.90263 ( 1029 accepted /  1140 generated), mean len =  2.81
0.48.730.045 I slot      release: id  0 | task 37 | stop processing: n_tokens = 1694, truncated = 0
0.48.749.276 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 372807262599
0.48.908.740 I slot launch_slot_: id  0 | task 611 | processing task, is_child = 0
0.49.208.521 I slot print_timing: id  0 | task 611 | prompt eval time =     299.76 ms /   100 tokens (    3.00 ms per token,   333.60 tokens per second)
0.49.208.525 I slot print_timing: id  0 | task 611 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.49.208.525 I slot print_timing: id  0 | task 611 |       total time =     299.76 ms /   101 tokens
0.49.208.526 I slot print_timing: id  0 | task 611 |    graphs reused =        564
0.49.208.556 I slot      release: id  0 | task 611 | stop processing: n_tokens = 100, truncated = 0
0.49.210.677 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.49.210.715 I slot launch_slot_: id  0 | task 615 | processing task, is_child = 0
0.49.480.255 I slot print_timing: id  0 | task 615 | prompt eval time =     269.53 ms /   100 tokens (    2.70 ms per token,   371.02 tokens per second)
0.49.480.259 I slot print_timing: id  0 | task 615 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.49.480.259 I slot print_timing: id  0 | task 615 |       total time =     269.53 ms /   101 tokens
0.49.480.260 I slot print_timing: id  0 | task 615 |    graphs reused =        564
0.49.480.296 I slot      release: id  0 | task 615 | stop processing: n_tokens = 100, truncated = 0
0.49.482.387 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.49.482.437 I slot launch_slot_: id  0 | task 619 | processing task, is_child = 0
0.49.749.153 I slot print_timing: id  0 | task 619 | prompt eval time =     266.70 ms /   100 tokens (    2.67 ms per token,   374.95 tokens per second)
0.49.749.159 I slot print_timing: id  0 | task 619 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.49.749.159 I slot print_timing: id  0 | task 619 |       total time =     266.70 ms /   101 tokens
0.49.749.160 I slot print_timing: id  0 | task 619 |    graphs reused =        564
0.49.749.183 I slot      release: id  0 | task 619 | stop processing: n_tokens = 100, truncated = 0
0.49.751.131 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.49.751.169 I slot launch_slot_: id  0 | task 623 | processing task, is_child = 0
0.50.016.606 I slot print_timing: id  0 | task 623 | prompt eval time =     265.42 ms /   100 tokens (    2.65 ms per token,   376.76 tokens per second)
0.50.016.609 I slot print_timing: id  0 | task 623 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.50.016.610 I slot print_timing: id  0 | task 623 |       total time =     265.42 ms /   101 tokens
0.50.016.614 I slot print_timing: id  0 | task 623 |    graphs reused =        564
0.50.016.650 I slot      release: id  0 | task 623 | stop processing: n_tokens = 100, truncated = 0
