CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18139 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 3
0.00.049.170 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.049.239 I srv          init: The UI is disabled
0.00.049.241 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.049.275 W srv  llama_server: -----------------
0.00.049.277 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.049.277 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.049.277 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.049.278 W srv  llama_server: -----------------
0.00.050.465 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.01.891.235 I cmn          init: llama threadpool init, n_threads = 8
0.01.946.511 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.01.987.444 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.01.999.701 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.01.999.731 I srv  llama_server: model loaded
0.01.999.734 I srv  llama_server: listening on http://127.0.0.1:18139
0.02.182.192 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.182.239 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.430.456 I slot print_timing: id  0 | task 0 | prompt eval time =     198.27 ms /    23 tokens (    8.62 ms per token,   116.01 tokens per second)
0.02.430.460 I slot print_timing: id  0 | task 0 |        eval time =      49.92 ms /     3 tokens (   24.96 ms per token,    40.06 tokens per second)
0.02.430.460 I slot print_timing: id  0 | task 0 |       total time =     248.19 ms /    26 tokens
0.02.430.463 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.02.430.464 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (    3 accepted /     3 generated), mean len =  4.00
0.02.430.494 I slot      release: id  0 | task 0 | stop processing: n_tokens = 27, truncated = 0
0.02.432.542 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 61778835878
0.02.501.366 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.05.709.617 I slot print_timing: id  0 | task 5 | n_gen =    270, tg =  89.00 t/s, tg_3s =  89.33 t/s
0.06.050.458 I slot print_timing: id  0 | task 5 | prompt eval time =     185.69 ms /    52 tokens (    3.57 ms per token,   280.04 tokens per second)
0.06.050.462 I slot print_timing: id  0 | task 5 |        eval time =    3363.39 ms /   300 tokens (   11.25 ms per token,    88.90 tokens per second)
0.06.050.462 I slot print_timing: id  0 | task 5 |       total time =    3549.07 ms /   352 tokens
0.06.050.463 I slot print_timing: id  0 | task 5 |    graphs reused =         84
0.06.050.465 I slot print_timing: id  0 | task 5 | draft acceptance = 0.83529 (  213 accepted /   255 generated), mean len =  3.51
0.06.050.485 I slot      release: id  0 | task 5 | stop processing: n_tokens = 351, truncated = 0
0.06.051.135 I srv    operator(): operator(): cleaning up before exit...
