CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18138 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 2
0.00.207.847 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.207.930 I srv          init: The UI is disabled
0.00.207.932 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.207.973 W srv  llama_server: -----------------
0.00.207.975 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.207.975 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.207.975 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.207.975 W srv  llama_server: -----------------
0.00.209.178 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.29.393.465 I cmn          init: llama threadpool init, n_threads = 8
0.29.482.023 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.29.525.515 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.29.552.517 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.29.552.555 I srv  llama_server: model loaded
0.29.552.560 I srv  llama_server: listening on http://127.0.0.1:18138
0.29.879.165 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.29.879.212 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.30.195.001 I slot print_timing: id  0 | task 0 | prompt eval time =     261.33 ms /    25 tokens (   10.45 ms per token,    95.67 tokens per second)
0.30.195.004 I slot print_timing: id  0 | task 0 |        eval time =      54.43 ms /     3 tokens (   27.22 ms per token,    36.74 tokens per second)
0.30.195.004 I slot print_timing: id  0 | task 0 |       total time =     315.76 ms /    28 tokens
0.30.195.006 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.30.195.008 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (    2 accepted /     2 generated), mean len =  3.00
0.30.196.143 I slot      release: id  0 | task 0 | stop processing: n_tokens = 28, truncated = 0
0.30.202.979 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 631887267179
0.30.345.155 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.30.624.497 I slot print_timing: id  0 | task 5 | prompt eval time =     279.33 ms /    95 tokens (    2.94 ms per token,   340.10 tokens per second)
0.30.624.502 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.30.624.502 I slot print_timing: id  0 | task 5 |       total time =     279.33 ms /    96 tokens
0.30.624.503 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.30.624.526 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.30.626.348 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.30.626.385 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.30.868.037 I slot print_timing: id  0 | task 9 | prompt eval time =     241.64 ms /    95 tokens (    2.54 ms per token,   393.15 tokens per second)
0.30.868.041 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.30.868.041 I slot print_timing: id  0 | task 9 |       total time =     241.64 ms /    96 tokens
0.30.868.042 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.30.868.065 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.30.870.132 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
