CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18150 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 7
0.00.121.094 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.121.192 I srv          init: The UI is disabled
0.00.121.193 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.121.228 W srv  llama_server: -----------------
0.00.121.228 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.121.229 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.121.229 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.121.229 W srv  llama_server: -----------------
0.00.122.558 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.01.951.850 I cmn          init: llama threadpool init, n_threads = 8
0.02.010.566 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.02.055.398 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.068.514 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.068.548 I srv  llama_server: model loaded
0.02.068.550 I srv  llama_server: listening on http://127.0.0.1:18150
0.02.275.566 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.275.620 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.559.248 I slot print_timing: id  0 | task 0 | prompt eval time =     203.20 ms /    25 tokens (    8.13 ms per token,   123.03 tokens per second)
0.02.559.254 I slot print_timing: id  0 | task 0 |        eval time =      80.40 ms /     3 tokens (   40.20 ms per token,    24.88 tokens per second)
0.02.559.254 I slot print_timing: id  0 | task 0 |       total time =     283.60 ms /    28 tokens
0.02.559.256 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.02.559.259 I slot print_timing: id  0 | task 0 | draft acceptance = 0.42857 (    3 accepted /     7 generated), mean len =  4.00
0.02.559.287 I slot      release: id  0 | task 0 | stop processing: n_tokens = 29, truncated = 0
0.02.561.979 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 85278902311
0.02.629.260 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.02.852.742 I slot print_timing: id  0 | task 5 | prompt eval time =     223.46 ms /    95 tokens (    2.35 ms per token,   425.12 tokens per second)
0.02.852.747 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.02.852.747 I slot print_timing: id  0 | task 5 |       total time =     223.47 ms /    96 tokens
0.02.852.748 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.02.852.771 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.02.854.791 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.02.854.825 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.03.077.728 I slot print_timing: id  0 | task 9 | prompt eval time =     222.89 ms /    95 tokens (    2.35 ms per token,   426.22 tokens per second)
0.03.077.733 I slot print_timing: id  0 | task 9 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.077.733 I slot print_timing: id  0 | task 9 |       total time =     222.89 ms /    96 tokens
0.03.077.734 I slot print_timing: id  0 | task 9 |    graphs reused =          1
0.03.077.757 I slot      release: id  0 | task 9 | stop processing: n_tokens = 95, truncated = 0
0.03.079.780 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.079.813 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
